state,start,end,duration_min,delta_pct,mean_slope,min_slope,max_slope
IRRIGATE,2025-10-28 01:36:00,2025-10-28 01:48:00,12.0,0.3499999999999943,-0.023333333333333896,-0.2333333333333342,0.2166666666666685
IRRIGATE,2025-10-28 04:33:00,2025-10-28 04:48:00,15.0,-0.10000000000000853,-0.030555555555556183,-0.1833333333333323,0.1500000000000009
IRRIGATE,2025-10-28 23:12:00,2025-10-28 23:24:00,12.0,-0.15000000000000568,-0.023333333333332918,-0.1833333333333323,0.1499999999999962
IRRIGATE,2025-10-29 00:30:00,2025-10-29 00:42:00,12.0,0.0,-0.013333333333332559,-0.1166666666666647,0.1166666666666647
IRRIGATE,2025-10-29 01:15:00,2025-10-29 01:30:00,15.0,-0.20000000000000284,-0.022222222222221727,-0.1000000000000038,0.0833333333333333
IRRIGATE,2025-10-29 03:51:00,2025-10-29 04:21:00,30.0,-0.5,-0.022727272727272717,-0.1666666666666666,0.1333333333333305
FILL,2025-10-29 10:33:00,2025-10-29 10:42:00,9.0,0.25,0.05833333333333353,0.0,0.1500000000000009
FILL,2025-10-29 11:48:00,2025-10-29 12:00:00,12.0,0.3499999999999943,0.019999999999999806,-0.1333333333333352,0.1833333333333323
IRRIGATE,2025-10-29 15:15:00,2025-10-29 15:27:00,12.0,-0.09999999999999432,-0.01666666666666668,-0.1500000000000056,0.1500000000000056
IRRIGATE,2025-10-29 16:06:00,2025-10-29 16:18:00,12.0,0.14999999999999147,-0.01333333333333352,-0.1166666666666647,0.1166666666666647
IRRIGATE,2025-10-29 17:12:00,2025-10-29 17:27:00,15.0,-0.09999999999999432,-0.022222222222222532,-0.1166666666666647,0.1333333333333352
IRRIGATE,2025-10-29 19:09:00,2025-10-29 19:21:00,12.0,-0.25,-0.030000000000000176,-0.0833333333333333,0.0666666666666628
IRRIGATE,2025-10-29 19:33:00,2025-10-29 19:51:00,18.0,-0.20000000000001705,-0.019047619047619296,-0.083333333333338,0.099999999999999
IRRIGATE,2025-10-29 22:03:00,2025-10-29 22:15:00,12.0,-0.14999999999999147,-0.02666666666666608,-0.0833333333333333,0.0499999999999971
IRRIGATE,2025-10-30 00:42:00,2025-10-30 00:54:00,12.0,-0.15000000000000568,-0.02000000000000076,-0.0833333333333333,0.0500000000000019
IRRIGATE,2025-10-30 01:15:00,2025-10-30 01:30:00,15.0,-0.09999999999999432,-0.027777777777777762,-0.1333333333333352,0.0666666666666628
IRRIGATE,2025-10-30 01:39:00,2025-10-30 02:06:00,27.0,-1.125,-0.05333333333333312,-0.1833333333333371,0.1208333333333323
IRRIGATE,2025-10-30 05:06:00,2025-10-30 05:45:00,39.0,-1.1500000000000057,-0.03214285714285733,-0.2499999999999952,0.0999999999999943
IRRIGATE,2025-10-30 06:18:00,2025-10-30 06:30:00,12.0,-0.20000000000000284,-0.02666666666666608,-0.0666666666666676,0.0666666666666676
IRRIGATE,2025-10-30 07:12:00,2025-10-30 07:24:00,12.0,0.0,-0.026666666666666117,-0.1333333333333305,0.1666666666666666
IRRIGATE,2025-10-30 09:27:00,2025-10-30 09:54:00,27.0,-0.6833333333333229,-0.031111111111111218,-0.2666666666666704,0.2999999999999971
FILL,2025-10-30 10:09:00,2025-10-30 10:18:00,9.0,0.20000000000000284,0.045833333333334274,-0.0333333333333361,0.1166666666666695
FILL,2025-10-30 11:51:00,2025-10-30 11:57:00,6.0,0.3500000000000085,0.07222222222222284,0.0166666666666657,0.1000000000000038
IRRIGATE,2025-10-30 13:48:00,2025-10-30 14:00:00,12.0,0.15000000000000568,-0.01666666666666572,-0.1333333333333352,0.1999999999999981
IRRIGATE,2025-10-30 21:33:00,2025-10-30 21:45:00,12.0,-0.25,-0.026666666666666082,-0.1333333333333305,0.0999999999999943
IRRIGATE,2025-10-30 21:57:00,2025-10-30 22:15:00,18.0,0.04999999999999716,-0.0071428571428567246,-0.1333333333333352,0.1500000000000009
IRRIGATE,2025-10-31 01:42:00,2025-10-31 02:00:00,18.0,-0.29999999999999716,-0.04047619047619019,-0.1833333333333323,0.1166666666666647
IRRIGATE,2025-10-31 02:36:00,2025-10-31 03:03:00,27.0,-0.4000000000000057,-0.02166666666666684,-0.2166666666666685,0.2333333333333342
IRRIGATE,2025-10-31 03:12:00,2025-10-31 03:36:00,24.0,-1.1999999999999886,-0.05370370370370328,-0.2833333333333314,0.2333333333333342
IRRIGATE,2025-10-31 03:48:00,2025-10-31 04:12:00,24.0,-1.0,-0.046296296296296266,-0.2166666666666685,0.224999999999999
IRRIGATE,2025-10-31 04:27:00,2025-10-31 04:42:00,15.0,-0.29999999999998295,-0.03888888888888826,-0.2333333333333342,0.1833333333333371
IRRIGATE,2025-10-31 09:18:00,2025-10-31 09:30:00,12.0,-0.05000000000001137,-0.016666666666666656,-0.0666666666666676,0.1166666666666647
FILL,2025-10-31 10:39:00,2025-10-31 10:51:00,12.0,0.3500000000000085,0.05333333333333408,-0.0500000000000019,0.1500000000000009
IRRIGATE,2025-10-31 13:00:00,2025-10-31 13:18:00,18.0,-0.6999999999999886,0.006349206349207358,-0.2074074074074019,0.2777777777777809
IRRIGATE,2025-10-31 13:39:00,2025-10-31 13:51:00,12.0,0.0,-0.039999999999999626,-0.2666666666666657,0.2166666666666638
IRRIGATE,2025-10-31 14:00:00,2025-10-31 14:18:00,18.0,-0.10000000000000853,-0.014285714285714799,-0.1833333333333323,0.1333333333333305
IRRIGATE,2025-10-31 14:30:00,2025-10-31 14:51:00,21.0,-0.5999999999999943,-0.03958333333333344,-0.2333333333333342,0.1999999999999981
IRRIGATE,2025-10-31 15:48:00,2025-10-31 16:03:00,15.0,0.10000000000000853,-0.0055555555555552305,-0.1333333333333305,0.2666666666666657
IRRIGATE,2025-10-31 19:36:00,2025-10-31 19:48:00,12.0,-0.20000000000000284,-0.023333333333332935,-0.1000000000000038,0.1500000000000009
IRRIGATE,2025-10-31 20:12:00,2025-10-31 20:24:00,12.0,-0.3499999999999943,-0.06666666666666665,-0.2611111111111199,0.1833333333333276
IRRIGATE,2025-10-31 20:33:00,2025-10-31 20:54:00,21.0,1.0,0.004166666666666423,-0.3000000000000019,0.2333333333333295
IRRIGATE,2025-10-31 21:03:00,2025-10-31 21:18:00,15.0,0.09999999999999432,-0.005555555555556033,-0.0833333333333333,0.1666666666666666
IRRIGATE,2025-10-31 22:57:00,2025-10-31 23:09:00,12.0,0.0,-0.01333333333333352,-0.0666666666666676,0.1166666666666647
IRRIGATE,2025-11-01 00:09:00,2025-11-01 00:33:00,24.0,-0.3333333333333428,-0.01975308641975301,-0.2999999999999971,0.2833333333333314
IRRIGATE,2025-11-01 00:51:00,2025-11-01 01:36:00,45.0,-0.44999999999998863,-0.01249999999999988,-0.1999999999999981,0.1833333333333371
IRRIGATE,2025-11-01 08:00:00,2025-11-01 08:42:00,42.0,-0.75,-0.020000000000000122,-0.2833333333333314,0.1583333333333361
IRRIGATE,2025-11-01 08:51:00,2025-11-01 09:33:00,42.0,-0.3999999999999915,-0.017777777777777726,-0.25,0.2833333333333361
FILL,2025-11-01 10:21:00,2025-11-01 11:12:00,51.0,2.3999999999999915,0.05413237311385451,-0.0833333333333333,0.2833333333333314
FILL,2025-11-01 11:24:00,2025-11-01 11:30:00,6.0,0.25,0.044444444444443475,0.0,0.0833333333333333
FILL,2025-11-01 12:00:00,2025-11-01 12:06:00,6.0,-0.14999999999999147,0.044444444444445064,-0.1666666666666666,0.1833333333333323
IRRIGATE,2025-11-01 13:21:00,2025-11-01 13:48:00,27.0,-1.1500000000000057,-0.04333333333333324,-0.2166666666666685,0.1689814814814762
IRRIGATE,2025-11-01 14:51:00,2025-11-01 15:03:00,12.0,0.15000000000000568,-0.0038888888888872096,-0.2000000000000028,0.25
IRRIGATE,2025-11-01 15:45:00,2025-11-01 16:12:00,27.0,-0.5250000000000057,-0.02750000000000009,-0.2166666666666638,0.1666666666666666
IRRIGATE,2025-11-01 16:33:00,2025-11-01 16:48:00,15.0,-0.29999999999999716,-0.044444444444444266,-0.1666666666666666,0.0500000000000019
IRRIGATE,2025-11-01 17:00:00,2025-11-01 17:30:00,30.0,-0.04999999999999716,-0.016666666666666583,-0.2666666666666657,0.2333333333333342
IRRIGATE,2025-11-01 23:57:00,2025-11-02 00:21:00,24.0,0.20000000000000284,-0.016666666666666243,-0.2166666666666638,0.2333333333333342
IRRIGATE,2025-11-02 01:27:00,2025-11-02 01:51:00,24.0,-0.29999999999999716,-0.044444444444444016,-0.2999999999999971,0.1666666666666666
IRRIGATE,2025-11-02 02:00:00,2025-11-02 02:24:00,24.0,-0.3499999999999943,-0.01851851851851852,-0.1875,0.1510416666666666
IRRIGATE,2025-11-02 02:33:00,2025-11-02 03:12:00,39.0,0.09999999999999432,-0.015476190476190615,-0.25,0.2833333333333314
IRRIGATE,2025-11-02 03:24:00,2025-11-02 03:42:00,18.0,-1.1000000000000085,-0.05873015873015809,-0.3000000000000019,0.1666666666666666
IRRIGATE,2025-11-02 04:18:00,2025-11-02 04:36:00,18.0,-0.01666666666667993,-0.02460317460317523,-0.1666666666666666,0.1333333333333352
IRRIGATE,2025-11-02 04:48:00,2025-11-02 05:24:00,36.0,-0.4000000000000057,-0.019230769230769235,-0.2833333333333361,0.2000000000000028
IRRIGATE,2025-11-02 06:00:00,2025-11-02 06:51:00,51.0,-0.7124999999999915,-0.020370370370370254,-0.25,0.2833333333333314
IRRIGATE,2025-11-02 07:30:00,2025-11-02 07:54:00,24.0,-0.375,-0.01944444444444411,-0.25,0.25
IRRIGATE,2025-11-02 08:15:00,2025-11-02 08:33:00,18.0,-0.5578124999999972,-0.050372023809523644,-0.2833333333333314,0.1416666666666657
